Nom de la donnée,Format,Longueur,Type,Description
channels_contentDetails_relatedPlaylists_watchLater,AN,12,E,This property has been deprecated. The property's value is always set to WL. The API now returns an empty list in response to requests for playlist
,,,,
channels_statistics_viewCount,NUMERIQUE,12,E,The number of times the channel has been viewed
channels_statistics_commentCount,NUMERIQUE,12,E,The number of comments for the channel
channels_statistics_subscriberCount,NUMERIQUE,12,E,The number of subscribers that the channel has
channels_statistics_hiddenSubscriberCount,boolean,12,E,Indicates whether the channel's subscriber count is publicly visible
channels_statistics_videoCount,NUMERIQUE,12,E,The number of videos uploaded to the channel
,,,,
channels_topicDetails_topicIds,[AN],20,E,"A list of topic IDs associated with the channel. This property has been deprecated as of November 10, 2016."
channels_topicDetails_topicCategories,[AN],100,E,A list of Wikipedia URLs that describe the channel's content
,,,,
channels_status_privacyStatus,AN,20,E,"Privacy status of the channel. values := (private, public, unlisted)"
channels_status_isLinked,boolean,1,E,Indicates whether the channel data identifies a user that is already linked to either a YouTube username or a Google+ account.
channels_status_longUploadsStatus,AN,20,E,"Indicates whether the channel is eligible to upload videos that are more than 15 minutes long. This property is only returned if the channel owner authorized the API request, values := (allowed, disallowed, eligible)"
,,,,
channels_brandingSettings_channel_title,AN,30,E,The channel's title. The title has a maximum length of 30 characters
channels_brandingSettings_channel_description,AN,1000,E,"The channel description, which appears in the channel information box on your channel page"
channels_brandingSettings_channel_keywords,AN,100,E,Keywords associated with your channel. The value is a space-separated list of strings
channels_brandingSettings_channel_moderateComments,boolean,1,E,This setting determines whether user-submitted comments left on the channel page need to be approved by the channel owner to be publicly visible. The default value is false.
channels_brandingSettings_channel_showRelatedChannels,boolean,1,E,This setting indicates whether YouTube should show an algorithmically generated list of related channels on your channel page
channels_brandingSettings_channel_showBrowseView,boolean,1,E,"This setting indicates whether the channel page should display content in a browse or feed view. For example, the browse view might display separate sections for uploaded videos, playlists, and liked videos. The feed view, on the other hand, displays the channel's activity feed."
channels_brandingSettings_channel_featuredChannelsTitle,AN,30,E,The title that displays above the featured channels module.
channels_brandingSettings_channel_unsubscribedTrailer,AN,30,E,The video that should play in the featured video module in the channel page's browse view for unsubscribed viewers. 
channels_brandingSettings_channel_profileColor,AN,15,E,A prominent color that complements the channel's content
channels_brandingSettings_channel_defaultLanguage,AN,25,E,The language of the text in the channel resource's snippet.title and snippet.description properties.
channels_brandingSettings_channel_country,AN,30,E,The country with which the channel is associated
channels_contentOwnerDetails_contentOwner,AN,30,E,The ID of the content owner linked to the channel
channels_contentOwnerDetails_timeLinked,date,,E,The date and time of when the channel was linked to the content owner
,,,,
channels_localizations_key_title,AN,30,E,The localized by the (key) channel title
channels_localizations_key_description,AN,160,E,The localized by the (key) channel description.
